,Name of pokemon,Pokemon Type,Total,HP,Attack,Sp_Attack,Sp_Defence,Speed
508,Burmy Trash Cloak,Bug ,224,40,29,29,45,36
509,Wormadam Plant Cloak,Bug Grass,424,60,59,79,105,36
510,Wormadam Sandy Cloak,Bug Ground,424,60,79,59,85,36
511,Wormadam Trash Cloak,Bug Steel,424,60,69,69,95,36
512,Mothim,Bug Flying,424,70,94,94,50,66
513,Combee,Bug Flying,244,30,30,30,42,70
514,Vespiquen,Bug Flying,474,70,80,80,102,40
515,Pachirisu,Electric ,405,60,45,45,90,95
516,Buizel,Water ,330,55,65,60,30,85
517,Floatzel,Water ,495,85,105,85,50,115
518,Cherubi,Grass ,275,45,35,62,53,35
519,Cherrim,Grass ,450,70,60,87,78,85
520,Shellos,Water ,325,76,48,57,62,34
521,Gastrodon,Water Ground,475,111,83,92,82,39
522,Ambipom,Normal ,482,75,100,60,66,115
523,Drifloon,Ghost Flying,348,90,50,60,44,70
524,Drifblim,Ghost Flying,498,150,80,90,54,80
525,Buneary,Normal ,350,55,66,44,56,85
526,Lopunny,Normal ,480,65,76,54,96,105
527,Lopunny Mega Lopunny,Normal Fighting,580,65,136,54,96,135
528,Mismagius,Ghost ,495,60,60,105,105,105
529,Honchkrow,Dark Flying,505,100,125,105,52,71
530,Glameow,Normal ,310,49,55,42,37,85
531,Purugly,Normal ,452,71,82,64,59,112
532,Chingling,Psychic ,285,45,30,65,50,45
533,Stunky,Poison Dark,329,63,63,41,41,74
534,Skuntank,Poison Dark,479,103,93,71,61,84
535,Bronzor,Steel Psychic,300,57,24,24,86,23
536,Bronzong,Steel Psychic,500,67,89,79,116,33
537,Bonsly,Rock ,290,50,80,10,45,10
538,Mime Jr.,Psychic Fairy,310,20,25,70,90,60
539,Happiny,Normal ,220,100,5,15,65,30
540,Chatot,Normal Flying,411,76,65,92,42,91
541,Spiritomb,Ghost Dark,485,50,92,92,108,35
542,Gible,Dragon Ground,300,58,70,40,45,42
543,Gabite,Dragon Ground,410,68,90,50,55,82
544,Garchomp,Dragon Ground,600,108,130,80,85,102
545,Garchomp Mega Garchomp,Dragon Ground,700,108,170,120,95,92
546,Munchlax,Normal ,390,135,85,40,85,5
547,Riolu,Fighting ,285,40,70,35,40,60
548,Lucario,Fighting Steel,525,70,110,115,70,90
549,Lucario Mega Lucario,Fighting Steel,625,70,145,140,70,112
550,Hippopotas,Ground ,330,68,72,38,42,32
551,Hippowdon,Ground ,525,108,112,68,72,47
552,Skorupi,Poison Bug,330,40,50,30,55,65
553,Drapion,Poison Dark,500,70,90,60,75,95
554,Croagunk,Poison Fighting,300,48,61,61,40,50
555,Toxicroak,Poison Fighting,490,83,106,86,65,85
556,Carnivine,Grass ,454,74,100,90,72,46
557,Finneon,Water ,330,49,49,49,61,66
558,Lumineon,Water ,460,69,69,69,86,91
559,Mantyke,Water Flying,345,45,20,60,120,50
560,Snover,Grass Ice,334,60,62,62,60,40
561,Abomasnow,Grass Ice,494,90,92,92,85,60
562,Abomasnow Mega Abomasnow,Grass Ice,594,90,132,132,105,30
563,Weavile,Dark Ice,510,70,120,45,85,125
564,Magnezone,Electric Steel,535,70,70,130,90,60
565,Lickilicky,Normal ,515,110,85,80,95,50
566,Rhyperior,Ground Rock,535,115,140,55,55,40
567,Tangrowth,Grass ,535,100,100,110,50,50
568,Electivire,Electric ,540,75,123,95,85,95
569,Magmortar,Fire ,540,75,95,125,95,83
570,Togekiss,Fairy Flying,545,85,50,120,115,80
571,Yanmega,Bug Flying,515,86,76,116,56,95
572,Leafeon,Grass ,525,65,110,60,65,95
573,Glaceon,Ice ,525,65,60,130,95,65
574,Gliscor,Ground Flying,510,75,95,45,75,95
575,Mamoswine,Ice Ground,530,110,130,70,60,80
576,Porygon-Z,Normal ,535,85,80,135,75,90
577,Gallade,Psychic Fighting,518,68,125,65,115,80
578,Gallade Mega Gallade,Psychic Fighting,618,68,165,65,115,110
579,Probopass,Rock Steel,525,60,55,75,150,40
580,Dusknoir,Ghost ,525,45,100,65,135,45
581,Froslass,Ice Ghost,480,70,80,80,70,110
582,Rotom,Electric Ghost,440,50,50,95,77,91
583,Rotom Heat Rotom,Electric Fire,520,50,65,105,107,86
584,Rotom Wash Rotom,Electric Water,520,50,65,105,107,86
585,Rotom Frost Rotom,Electric Ice,520,50,65,105,107,86
586,Rotom Fan Rotom,Electric Flying,520,50,65,105,107,86
587,Rotom Mow Rotom,Electric Grass,520,50,65,105,107,86
588,Uxie,Psychic ,580,75,75,75,130,95
589,Mesprit,Psychic ,580,80,105,105,105,80
590,Azelf,Psychic ,580,75,125,125,70,115
591,Dialga,Steel Dragon,680,100,120,150,100,90
592,Dialga Origin Forme,Steel Dragon,680,100,100,150,120,90
593,Palkia,Water Dragon,680,90,120,150,120,100
594,Palkia Origin Forme,Water Dragon,680,90,100,150,120,120
595,Heatran,Fire Steel,600,91,90,130,106,77
596,Regigigas,Normal ,670,110,160,80,110,100
597,Giratina Altered Forme,Ghost Dragon,680,150,100,100,120,90
598,Giratina Origin Forme,Ghost Dragon,680,150,120,120,100,90
599,Cresselia,Psychic ,580,120,70,75,120,85
600,Phione,Water ,480,80,80,80,80,80
601,Manaphy,Water ,600,100,100,100,100,100
602,Darkrai,Dark ,600,70,90,135,90,125
603,Shaymin Land Forme,Grass ,600,100,100,100,100,100
604,Shaymin Sky Forme,Grass Flying,600,100,103,120,75,127
605,Arceus,Normal ,720,120,120,120,120,120
606,Victini,Psychic Fire,600,100,100,100,100,100
607,Snivy,Grass ,308,45,45,45,55,63
608,Servine,Grass ,413,60,60,60,75,83
609,Serperior,Grass ,528,75,75,75,95,113
610,Tepig,Fire ,308,65,63,45,45,45
611,Pignite,Fire Fighting,418,90,93,70,55,55
612,Emboar,Fire Fighting,528,110,123,100,65,65
613,Oshawott,Water ,308,55,55,63,45,45
614,Dewott,Water ,413,75,75,83,60,60
615,Samurott,Water ,528,95,100,108,70,70
616,Samurott Hisuian Samurott,Water Dark,528,90,108,100,65,85
617,Patrat,Normal ,255,45,55,35,39,42
618,Watchog,Normal ,420,60,85,60,69,77
619,Lillipup,Normal ,275,45,60,25,45,55
620,Herdier,Normal ,370,65,80,35,65,60
621,Stoutland,Normal ,500,85,110,45,90,80
622,Purrloin,Dark ,281,41,50,50,37,66
623,Liepard,Dark ,446,64,88,88,50,106
624,Pansage,Grass ,316,50,53,53,48,64
625,Simisage,Grass ,498,75,98,98,63,101
626,Pansear,Fire ,316,50,53,53,48,64
627,Simisear,Fire ,498,75,98,98,63,101
628,Panpour,Water ,316,50,53,53,48,64
629,Simipour,Water ,498,75,98,98,63,101
630,Munna,Psychic ,292,76,25,67,55,24
631,Musharna,Psychic ,487,116,55,107,95,29
632,Pidove,Normal Flying,264,50,55,36,30,43
633,Tranquill,Normal Flying,358,62,77,50,42,65
634,Unfezant,Normal Flying,488,80,115,65,55,93
635,Blitzle,Electric ,295,45,60,50,32,76
636,Zebstrika,Electric ,497,75,100,80,63,116
637,Roggenrola,Rock ,280,55,75,25,25,15
638,Boldore,Rock ,390,70,105,50,40,20
639,Gigalith,Rock ,515,85,135,60,80,25
640,Woobat,Psychic Flying,323,65,45,55,43,72
641,Swoobat,Psychic Flying,425,67,57,77,55,114
642,Drilbur,Ground ,328,60,85,30,45,68
643,Excadrill,Ground Steel,508,110,135,50,65,88
644,Audino,Normal ,445,103,60,60,86,50
645,Audino Mega Audino,Normal Fairy,545,103,60,80,126,50
646,Timburr,Fighting ,305,75,80,25,35,35
647,Gurdurr,Fighting ,405,85,105,40,50,40
648,Conkeldurr,Fighting ,505,105,140,55,65,45
649,Tympole,Water ,294,50,50,50,40,64
650,Palpitoad,Water Ground,384,75,65,65,55,69
651,Seismitoad,Water Ground,509,105,95,85,75,74
652,Throh,Fighting ,465,120,100,30,85,45
653,Sawk,Fighting ,465,75,125,30,75,85
654,Sewaddle,Bug Grass,310,45,53,40,60,42
655,Swadloon,Bug Grass,380,55,63,50,80,42
656,Leavanny,Bug Grass,500,75,103,70,80,92
657,Venipede,Bug Poison,260,30,45,30,39,57
658,Whirlipede,Bug Poison,360,40,55,40,79,47
659,Scolipede,Bug Poison,485,60,100,55,69,112
660,Cottonee,Grass Fairy,280,40,27,37,50,66
661,Whimsicott,Grass Fairy,480,60,67,77,75,116
662,Petilil,Grass ,280,45,35,70,50,30
663,Lilligant,Grass ,480,70,60,110,75,90
664,Lilligant Hisuian Lilligant,Grass Fighting,480,70,105,50,75,105
665,Basculin Red-Striped Form,Water ,460,70,92,80,55,98
666,Basculin Blue-Striped Form,Water ,460,70,92,80,55,98
667,Basculin White-Striped Form,Water ,460,70,92,80,55,98
668,Sandile,Ground Dark,292,50,72,35,35,65
669,Krokorok,Ground Dark,351,60,82,45,45,74
670,Krookodile,Ground Dark,519,95,117,65,70,92
671,Darumaka,Fire ,315,70,90,15,45,50
672,Darumaka Galarian Darumaka,Ice ,315,70,90,15,45,50
673,Darmanitan Standard Mode,Fire ,480,105,140,30,55,95
674,Darmanitan Zen Mode,Fire Psychic,540,105,30,140,105,55
675,Darmanitan Galarian Standard Mode,Ice ,480,105,140,30,55,95
676,Darmanitan Galarian Zen Mode,Ice Fire,540,105,160,30,55,135
677,Maractus,Grass ,461,75,86,106,67,60
678,Dwebble,Bug Rock,325,50,65,35,35,55
679,Crustle,Bug Rock,485,70,105,65,75,45
680,Scraggy,Dark Fighting,348,50,75,35,70,48
681,Scrafty,Dark Fighting,488,65,90,45,115,58
682,Sigilyph,Psychic Flying,490,72,58,103,80,97
683,Yamask,Ghost ,303,38,30,55,65,30
684,Yamask Galarian Yamask,Ground Ghost,303,38,55,30,65,30
685,Cofagrigus,Ghost ,483,58,50,95,105,30
686,Tirtouga,Water Rock,355,54,78,53,45,22
687,Carracosta,Water Rock,495,74,108,83,65,32
688,Archen,Rock Flying,401,55,112,74,45,70
689,Archeops,Rock Flying,567,75,140,112,65,110
690,Trubbish,Poison ,329,50,50,40,62,65
691,Garbodor,Poison ,474,80,95,60,82,75
692,Zorua,Dark ,330,40,65,80,40,65
693,Zorua Hisuian Zorua,Normal Ghost,330,35,60,85,40,70
694,Zoroark,Dark ,510,60,105,120,60,105
695,Zoroark Hisuian Zoroark,Normal Ghost,510,55,100,125,60,110
696,Minccino,Normal ,300,55,50,40,40,75
697,Cinccino,Normal ,470,75,95,65,60,115
698,Gothita,Psychic ,290,45,30,55,65,45
699,Gothorita,Psychic ,390,60,45,75,85,55
700,Gothitelle,Psychic ,490,70,55,95,110,65
701,Solosis,Psychic ,290,45,30,105,50,20
702,Duosion,Psychic ,370,65,40,125,60,30
703,Reuniclus,Psychic ,490,110,65,125,85,30
704,Ducklett,Water Flying,305,62,44,44,50,55
705,Swanna,Water Flying,473,75,87,87,63,98
706,Vanillite,Ice ,305,36,50,65,60,44
707,Vanillish,Ice ,395,51,65,80,75,59
708,Vanilluxe,Ice ,535,71,95,110,95,79
709,Deerling,Normal Grass,335,60,60,40,50,75
710,Sawsbuck,Normal Grass,475,80,100,60,70,95
711,Emolga,Electric Flying,428,55,75,75,60,103
712,Karrablast,Bug ,315,50,75,40,45,60
713,Escavalier,Bug Steel,495,70,135,60,105,20
714,Foongus,Grass Poison,294,69,55,55,55,15
715,Amoonguss,Grass Poison,464,114,85,85,80,30
716,Frillish,Water Ghost,335,55,40,65,85,40
717,Jellicent,Water Ghost,480,100,60,85,105,60
718,Alomomola,Water ,470,165,75,40,45,65
719,Joltik,Bug Electric,319,50,47,57,50,65
720,Galvantula,Bug Electric,472,70,77,97,60,108
721,Ferroseed,Grass Steel,305,44,50,24,86,10
722,Ferrothorn,Grass Steel,489,74,94,54,116,20
723,Klink,Steel ,300,40,55,45,60,30
724,Klang,Steel ,440,60,80,70,85,50
725,Klinklang,Steel ,520,60,100,70,85,90
726,Tynamo,Electric ,275,35,55,45,40,60
727,Eelektrik,Electric ,405,65,85,75,70,40
728,Eelektross,Electric ,515,85,115,105,80,50
729,Elgyem,Psychic ,335,55,55,85,55,30
730,Beheeyem,Psychic ,485,75,75,125,95,40
731,Litwick,Ghost Fire,275,50,30,65,55,20
732,Lampent,Ghost Fire,370,60,40,95,60,55
733,Chandelure,Ghost Fire,520,60,55,145,90,80
734,Axew,Dragon ,320,46,87,30,40,57
735,Fraxure,Dragon ,410,66,117,40,50,67
736,Haxorus,Dragon ,540,76,147,60,70,97
737,Cubchoo,Ice ,305,55,70,60,40,40
738,Beartic,Ice ,505,95,130,70,80,50
739,Cryogonal,Ice ,515,80,50,95,135,105
740,Shelmet,Bug ,305,50,40,40,65,25
741,Accelgor,Bug ,495,80,70,100,60,145
742,Stunfisk,Ground Electric,471,109,66,81,99,32
743,Stunfisk Galarian Stunfisk,Ground Steel,471,109,81,66,84,32
744,Mienfoo,Fighting ,350,45,85,55,50,65
745,Mienshao,Fighting ,510,65,125,95,60,105
746,Druddigon,Dragon ,485,77,120,60,90,48
747,Golett,Ground Ghost,303,59,74,35,50,35
748,Golurk,Ground Ghost,483,89,124,55,80,55
749,Pawniard,Dark Steel,340,45,85,40,40,60
750,Bisharp,Dark Steel,490,65,125,60,70,70
751,Bouffalant,Normal ,490,95,110,40,95,55
752,Rufflet,Normal Flying,350,70,83,37,50,60
753,Braviary,Normal Flying,510,100,123,57,75,80
754,Braviary Hisuian Braviary,Psychic Flying,510,110,83,112,70,65
755,Vullaby,Dark Flying,370,70,55,45,65,60
756,Mandibuzz,Dark Flying,510,110,65,55,95,80
757,Heatmor,Fire ,484,85,97,105,66,65
758,Durant,Bug Steel,484,58,109,48,48,109
759,Deino,Dark Dragon,300,52,65,45,50,38
760,Zweilous,Dark Dragon,420,72,85,65,70,58
761,Hydreigon,Dark Dragon,600,92,105,125,90,98
762,Larvesta,Bug Fire,360,55,85,50,55,60
763,Volcarona,Bug Fire,550,85,60,135,105,100
764,Cobalion,Steel Fighting,580,91,90,90,72,108
765,Terrakion,Rock Fighting,580,91,129,72,90,108
766,Virizion,Grass Fighting,580,91,90,90,129,108
767,Tornadus Incarnate Forme,Flying ,580,79,115,125,80,111
768,Tornadus Therian Forme,Flying ,580,79,100,110,90,121
769,Thundurus Incarnate Forme,Electric Flying,580,79,115,125,80,111
770,Thundurus Therian Forme,Electric Flying,580,79,105,145,80,101
771,Reshiram,Dragon Fire,680,100,120,150,120,90
772,Zekrom,Dragon Electric,680,100,150,120,100,90
773,Landorus Incarnate Forme,Ground Flying,600,89,125,115,80,101
774,Landorus Therian Forme,Ground Flying,600,89,145,105,80,91
775,Kyurem,Dragon Ice,660,125,130,130,90,95
776,Kyurem White Kyurem,Dragon Ice,700,125,120,170,100,95
777,Kyurem Black Kyurem,Dragon Ice,700,125,170,120,90,95
778,Keldeo Ordinary Form,Water Fighting,580,91,72,129,90,108
779,Keldeo Resolute Form,Water Fighting,580,91,72,129,90,108
780,Meloetta Aria Forme,Normal Psychic,600,100,77,128,128,90
781,Meloetta Pirouette Forme,Normal Fighting,600,100,128,77,77,128
782,Genesect,Bug Steel,600,71,120,120,95,99
783,Chespin,Grass ,313,56,61,48,45,38
784,Quilladin,Grass ,405,61,78,56,58,57
785,Chesnaught,Grass Fighting,530,88,107,74,75,64
786,Fennekin,Fire ,307,40,45,62,60,60
787,Braixen,Fire ,409,59,59,90,70,73
788,Delphox,Fire Psychic,534,75,69,114,100,104
789,Froakie,Water ,314,41,56,62,44,71
790,Frogadier,Water ,405,54,63,83,56,97
791,Greninja,Water Dark,530,72,95,103,71,122
792,Greninja Ash-Greninja,Water Dark,640,72,145,153,71,132
793,Bunnelby,Normal ,237,38,36,32,36,57
794,Diggersby,Normal Ground,423,85,56,50,77,78
795,Fletchling,Normal Flying,278,45,50,40,38,62
796,Fletchinder,Fire Flying,382,62,73,56,52,84
797,Talonflame,Fire Flying,499,78,81,74,69,126
798,Scatterbug,Bug ,200,38,35,27,25,35
799,Spewpa,Bug ,213,45,22,27,30,29
800,Vivillon,Bug Flying,411,80,52,90,50,89
801,Litleo,Fire Normal,369,62,50,73,54,72
802,Pyroar,Fire Normal,507,86,68,109,66,106
803,Flabébé,Fairy ,303,44,38,61,79,42
804,Floette,Fairy ,371,54,45,75,98,52
805,Florges,Fairy ,552,78,65,112,154,75
806,Skiddo,Grass ,350,66,65,62,57,52
807,Gogoat,Grass ,531,123,100,97,81,68
808,Pancham,Fighting ,348,67,82,46,48,43
809,Pangoro,Fighting Dark,495,95,124,69,71,58
810,Furfrou,Normal ,472,75,80,65,90,102
811,Espurr,Psychic ,355,62,48,63,60,68
812,Meowstic Male,Psychic ,466,74,48,83,81,104
813,Meowstic Female,Psychic ,466,74,48,83,81,104
814,Honedge,Steel Ghost,325,45,80,35,37,28
815,Doublade,Steel Ghost,448,59,110,45,49,35
816,Aegislash Shield Forme,Steel Ghost,500,60,50,50,140,60
817,Aegislash Blade Forme,Steel Ghost,500,60,140,140,50,60
818,Spritzee,Fairy ,341,78,52,63,65,23
819,Aromatisse,Fairy ,462,101,72,99,89,29
820,Swirlix,Fairy ,341,62,48,59,57,49
821,Slurpuff,Fairy ,480,82,80,85,75,72
822,Inkay,Dark Psychic,288,53,54,37,46,45
823,Malamar,Dark Psychic,482,86,92,68,75,73
824,Binacle,Rock Water,306,42,52,39,56,50
825,Barbaracle,Rock Water,500,72,105,54,86,68
826,Skrelp,Poison Water,320,50,60,60,60,30
827,Dragalge,Poison Dragon,494,65,75,97,123,44
828,Clauncher,Water ,330,50,53,58,63,44
829,Clawitzer,Water ,500,71,73,120,89,59
830,Helioptile,Electric Normal,289,44,38,61,43,70
831,Heliolisk,Electric Normal,481,62,55,109,94,109
832,Tyrunt,Rock Dragon,362,58,89,45,45,48
833,Tyrantrum,Rock Dragon,521,82,121,69,59,71
834,Amaura,Rock Ice,362,77,59,67,63,46
835,Aurorus,Rock Ice,521,123,77,99,92,58
836,Sylveon,Fairy ,525,95,65,110,130,60
837,Hawlucha,Fighting Flying,500,78,92,74,63,118
838,Dedenne,Electric Fairy,431,67,58,81,67,101
839,Carbink,Rock Fairy,500,50,50,50,150,50
840,Goomy,Dragon ,300,45,50,55,75,40
841,Sliggoo,Dragon ,452,68,75,83,113,60
842,Sliggoo Hisuian Sliggoo,Steel Dragon,452,58,75,83,113,40
843,Goodra,Dragon ,600,90,100,110,150,80
844,Goodra Hisuian Goodra,Steel Dragon,600,80,100,110,150,60
845,Klefki,Steel Fairy,470,57,80,80,87,75
846,Phantump,Ghost Grass,309,43,70,50,60,38
847,Trevenant,Ghost Grass,474,85,110,65,82,56
848,Pumpkaboo Average Size,Ghost Grass,335,49,66,44,55,51
849,Pumpkaboo Small Size,Ghost Grass,335,44,66,44,55,56
850,Pumpkaboo Large Size,Ghost Grass,335,54,66,44,55,46
851,Pumpkaboo Super Size,Ghost Grass,335,59,66,44,55,41
852,Gourgeist Average Size,Ghost Grass,494,65,90,58,75,84
853,Gourgeist Small Size,Ghost Grass,494,55,85,58,75,99
854,Gourgeist Large Size,Ghost Grass,494,75,95,58,75,69
855,Gourgeist Super Size,Ghost Grass,494,85,100,58,75,54
856,Bergmite,Ice ,304,55,69,32,35,28
857,Avalugg,Ice ,514,95,117,44,46,28
858,Avalugg Hisuian Avalugg,Ice Rock,514,95,127,34,36,38
859,Noibat,Flying Dragon,245,40,30,45,40,55
860,Noivern,Flying Dragon,535,85,70,97,80,123
861,Xerneas,Fairy ,680,126,131,131,98,99
862,Yveltal,Dark Flying,680,126,131,131,98,99
863,Zygarde 50% Forme,Dragon Ground,600,108,100,81,95,95
864,Zygarde 10% Forme,Dragon Ground,486,54,100,61,85,115
865,Zygarde Complete Forme,Dragon Ground,708,216,100,91,95,85
866,Diancie,Rock Fairy,600,50,100,100,150,50
867,Diancie Mega Diancie,Rock Fairy,700,50,160,160,110,110
868,Hoopa Hoopa Confined,Psychic Ghost,600,80,110,150,130,70
869,Hoopa Hoopa Unbound,Psychic Dark,680,80,160,170,130,80
870,Volcanion,Fire Water,600,80,110,130,90,70
871,Rowlet,Grass Flying,320,68,55,50,50,42
872,Dartrix,Grass Flying,420,78,75,70,70,52
873,Decidueye,Grass Ghost,530,78,107,100,100,70
874,Decidueye Hisuian Decidueye,Grass Fighting,530,88,112,95,95,60
875,Litten,Fire ,320,45,65,60,40,70
876,Torracat,Fire ,420,65,85,80,50,90
877,Incineroar,Fire Dark,530,95,115,80,90,60
878,Popplio,Water ,320,50,54,66,56,40
879,Brionne,Water ,420,60,69,91,81,50
880,Primarina,Water Fairy,530,80,74,126,116,60
881,Pikipek,Normal Flying,265,35,75,30,30,65
882,Trumbeak,Normal Flying,355,55,85,40,50,75
883,Toucannon,Normal Flying,485,80,120,75,75,60
884,Yungoos,Normal ,253,48,70,30,30,45
885,Gumshoos,Normal ,418,88,110,55,60,45
886,Grubbin,Bug ,300,47,62,55,45,46
887,Charjabug,Bug Electric,400,57,82,55,75,36
888,Vikavolt,Bug Electric,500,77,70,145,75,43
889,Crabrawler,Fighting ,338,47,82,42,47,63
890,Crabominable,Fighting Ice,478,97,132,62,67,43
891,Oricorio Baile Style,Fire Flying,476,75,70,98,70,93
892,Oricorio Pom-Pom Style,Electric Flying,476,75,70,98,70,93
893,Oricorio Pa'u Style,Psychic Flying,476,75,70,98,70,93
894,Oricorio Sensu Style,Ghost Flying,476,75,70,98,70,93
895,Cutiefly,Bug Fairy,304,40,45,55,40,84
896,Ribombee,Bug Fairy,464,60,55,95,70,124
897,Rockruff,Rock ,280,45,65,30,40,60
898,Rockruff Own Tempo Rockruff,Rock ,280,45,65,30,40,60
899,Lycanroc Midday Form,Rock ,487,75,115,55,65,112
900,Lycanroc Midnight Form,Rock ,487,85,115,55,75,82
901,Lycanroc Dusk Form,Rock ,487,75,117,55,65,110
902,Wishiwashi Solo Form,Water ,175,45,20,25,25,40
903,Wishiwashi School Form,Water ,620,45,140,140,135,30
904,Mareanie,Poison Water,305,50,53,43,52,45
905,Toxapex,Poison Water,495,50,63,53,142,35
906,Mudbray,Ground ,385,70,100,45,55,45
907,Mudsdale,Ground ,500,100,125,55,85,35
908,Dewpider,Water Bug,269,38,40,40,72,27
909,Araquanid,Water Bug,454,68,70,50,132,42
910,Fomantis,Grass ,250,40,55,50,35,35
911,Lurantis,Grass ,480,70,105,80,90,45
912,Morelull,Grass Fairy,285,40,35,65,75,15
913,Shiinotic,Grass Fairy,405,60,45,90,100,30
914,Salandit,Poison Fire,320,48,44,71,40,77
915,Salazzle,Poison Fire,480,68,64,111,60,117
916,Stufful,Normal Fighting,340,70,75,45,50,50
917,Bewear,Normal Fighting,500,120,125,55,60,60
918,Bounsweet,Grass ,210,42,30,30,38,32
919,Steenee,Grass ,290,52,40,40,48,62
920,Tsareena,Grass ,510,72,120,50,98,72
921,Comfey,Fairy ,485,51,52,82,110,100
922,Oranguru,Normal Psychic,490,90,60,90,110,60
923,Passimian,Fighting ,490,100,120,40,60,80
924,Wimpod,Bug Water,230,25,35,20,30,80
925,Golisopod,Bug Water,530,75,125,60,90,40
926,Sandygast,Ghost Ground,320,55,55,70,45,15
927,Palossand,Ghost Ground,480,85,75,100,75,35
928,Pyukumuku,Water ,410,55,60,30,130,5
929,Type: Null,Normal ,534,95,95,95,95,59
930,Silvally,Normal ,570,95,95,95,95,95
931,Minior Meteor Form,Rock Flying,440,60,60,60,100,60
932,Minior Core Form,Rock Flying,500,60,100,100,60,120
933,Komala,Normal ,480,65,115,75,95,65
934,Turtonator,Fire Dragon,485,60,78,91,85,36
935,Togedemaru,Electric Steel,435,65,98,40,73,96
936,Mimikyu,Ghost Fairy,476,55,90,50,105,96
937,Bruxish,Water Psychic,475,68,105,70,70,92
938,Drampa,Normal Dragon,485,78,60,135,91,36
939,Dhelmise,Ghost Grass,517,70,131,86,90,40
940,Jangmo-o,Dragon ,300,45,55,45,45,45
941,Hakamo-o,Dragon Fighting,420,55,75,65,70,65
942,Kommo-o,Dragon Fighting,600,75,110,100,105,85
943,Tapu Koko,Electric Fairy,570,70,115,95,75,130
944,Tapu Lele,Psychic Fairy,570,70,85,130,115,95
945,Tapu Bulu,Grass Fairy,570,70,130,85,95,75
946,Tapu Fini,Water Fairy,570,70,75,95,130,85
947,Cosmog,Psychic ,200,43,29,29,31,37
948,Cosmoem,Psychic ,400,43,29,29,131,37
949,Solgaleo,Psychic Steel,680,137,137,113,89,97
950,Lunala,Psychic Ghost,680,137,113,137,107,97
951,Nihilego,Rock Poison,570,109,53,127,131,103
952,Buzzwole,Bug Fighting,570,107,139,53,53,79
953,Pheromosa,Bug Fighting,570,71,137,137,37,151
954,Xurkitree,Electric ,570,83,89,173,71,83
955,Celesteela,Steel Flying,570,97,101,107,101,61
956,Kartana,Grass Steel,570,59,181,59,31,109
957,Guzzlord,Dark Dragon,570,223,101,97,53,43
958,Necrozma,Psychic ,600,97,107,127,89,79
959,Necrozma Dusk Mane Necrozma,Psychic Steel,680,97,157,113,109,77
960,Necrozma Dawn Wings Necrozma,Psychic Ghost,680,97,113,157,127,77
961,Necrozma Ultra Necrozma,Psychic Dragon,754,97,167,167,97,129
962,Magearna,Steel Fairy,600,80,95,130,115,65
963,Marshadow,Fighting Ghost,600,90,125,90,90,125
964,Poipole,Poison ,420,67,73,73,67,73
965,Naganadel,Poison Dragon,540,73,73,127,73,121
966,Stakataka,Rock Steel,570,61,131,53,101,13
967,Blacephalon,Fire Ghost,570,53,127,151,79,107
968,Zeraora,Electric ,600,88,112,102,80,143
969,Meltan,Steel ,300,46,65,55,35,34
970,Melmetal,Steel ,600,135,143,80,65,34
971,Grookey,Grass ,310,50,65,40,40,65
972,Thwackey,Grass ,420,70,85,55,60,80
973,Rillaboom,Grass ,530,100,125,60,70,85
974,Scorbunny,Fire ,310,50,71,40,40,69
975,Raboot,Fire ,420,65,86,55,60,94
976,Cinderace,Fire ,530,80,116,65,75,119
977,Sobble,Water ,310,50,40,70,40,70
978,Drizzile,Water ,420,65,60,95,55,90
979,Inteleon,Water ,530,70,85,125,65,120
980,Skwovet,Normal ,275,70,55,35,35,25
981,Greedent,Normal ,460,120,95,55,75,20
982,Rookidee,Flying ,245,38,47,33,35,57
983,Corvisquire,Flying ,365,68,67,43,55,77
984,Corviknight,Flying Steel,495,98,87,53,85,67
985,Blipbug,Bug ,180,25,20,25,45,45
986,Dottler,Bug Psychic,335,50,35,50,90,30
987,Orbeetle,Bug Psychic,505,60,45,80,120,90
988,Nickit,Dark ,245,40,28,47,52,50
989,Thievul,Dark ,455,70,58,87,92,90
990,Gossifleur,Grass ,250,40,40,40,60,10
991,Eldegoss,Grass ,460,60,50,80,120,60
992,Wooloo,Normal ,270,42,40,40,45,48
993,Dubwool,Normal ,490,72,80,60,90,88
994,Chewtle,Water ,284,50,64,38,38,44
995,Drednaw,Water Rock,485,90,115,48,68,74
996,Yamper,Electric ,270,59,45,40,50,26
997,Boltund,Electric ,490,69,90,90,60,121
998,Rolycoly,Rock ,240,30,40,40,50,30
999,Carkol,Rock Fire,410,80,60,60,70,50
1000,Coalossal,Rock Fire,510,110,80,80,90,30
1001,Applin,Grass Dragon,260,40,40,40,40,20
1002,Flapple,Grass Dragon,485,70,110,95,60,70
1003,Appletun,Grass Dragon,485,110,85,100,80,30
1004,Silicobra,Ground ,315,52,57,35,50,46
1005,Sandaconda,Ground ,510,72,107,65,70,71
1006,Cramorant,Flying Water,475,70,85,85,95,85
1007,Arrokuda,Water ,280,41,63,40,30,66
1008,Barraskewda,Water ,490,61,123,60,50,136
1009,Toxel,Electric Poison,242,40,38,54,35,40
1010,Toxtricity Amped Form,Electric Poison,502,75,98,114,70,75
1011,Toxtricity Low Key Form,Electric Poison,502,75,98,114,70,75
1012,Sizzlipede,Fire Bug,305,50,65,50,50,45
1013,Centiskorch,Fire Bug,525,100,115,90,90,65
